,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_ae_age,scaled_ae_capital-gain,scaled_ae_capital-loss,scaled_ae_hours-per-week,scaled_ae_workclass,scaled_ae_education,scaled_ae_marital-status,scaled_ae_occupation,scaled_ae_relationship,scaled_ae_race,scaled_ae_sex,scaled_ae_native-country,origin_ae_age,origin_ae_capital-gain,origin_ae_capital-loss,origin_ae_hours-per-week,origin_ae_workclass,origin_ae_education,origin_ae_marital-status,origin_ae_occupation,origin_ae_relationship,origin_ae_race,origin_ae_sex,origin_ae_native-country,running_time,Success?,ground_truth,prediction
0,0.1232876712328767,0.0,0.0,0.37755102040816324,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K,26.0,0.0,0.0,38.0,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K,0.1310603,0.14280222,0.01457492,0.3932104,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,26.567402,14280.079,63.48835,39.53462,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.27397260273972607,0.0,0.0,0.37755102040816324,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K,37.00000000000001,0.0,0.0,38.0,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K,0.27915433,0.09520148,0.009716613,0.3879906,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,37.378265,9520.053,42.325565,39.02308,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.1232876712328767,0.024070240702407025,0.0,0.5,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,26.0,2407.0,0.0,50.00000000000001,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.12069679,0.0,0.0,0.4947802,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,25.810865,0.0,0.0,49.488464,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,0.026558637619018555,Y,<=50K,>50K
0,0.1506849315068493,0.0,0.0,0.39795918367346933,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K,28.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K,0.15327582,0.04760074,0.0048583066,0.40317896,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,28.189135,4760.0264,21.162783,40.51154,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,0.026558637619018555,Y,>50K,<=50K
0,0.4246575342465753,0.07688076880768807,0.0,0.39795918367346933,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States,>50K,48.0,7688.0,0.0,40.0,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States,>50K,0.42206666,0.02928003,0.0,0.3927394,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States,47.810863,2927.9736,0.0,39.48846,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States,0.026558637619018555,N,>50K,>50K
0,0.3424657534246575,0.0,0.3232323232323232,0.39795918367346933,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K,42.0,0.0,1408.0,40.0,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K,0.34505662,0.04760074,0.32809064,0.40317896,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,42.189133,4760.0264,1429.1628,40.51154,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.1506849315068493,0.0,0.0,0.31632653061224486,Private,Assoc-acdm,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K,28.0,0.0,0.0,32.0,Private,Assoc-acdm,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K,0.15845758,0.14280222,0.01457492,0.3319859,Private,Assoc-acdm,Never-married,Adm-clerical,Own-child,White,Male,United-States,28.567404,14280.079,63.48835,33.53462,Private,Assoc-acdm,Never-married,Adm-clerical,Own-child,White,Male,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.0547945205479452,0.0,0.39462809917355374,0.2959183673469387,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K,21.0,0.0,1719.0,29.999999999999996,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K,0.06256717,0.14280222,0.40920305,0.31157774,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States,21.567404,14280.079,1782.4885,31.534618,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.4520547945205479,0.0,0.5544077134986226,0.2959183673469387,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,50.0,0.0,2415.0,29.999999999999996,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.4028283,0.0,0.46209964,0.19674248,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,46.406464,0.0,2012.906,20.280762,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0.026558637619018555,N,>50K,>50K
0,0.0684931506849315,0.0,0.0,0.39795918367346933,Private,HS-grad,Widowed,Adm-clerical,Own-child,White,Female,United-States,<=50K,22.0,0.0,0.0,40.0,Private,HS-grad,Widowed,Adm-clerical,Own-child,White,Female,United-States,<=50K,0.07885668,0.19040297,0.019433226,0.41883835,Private,HS-grad,Widowed,Adm-clerical,Own-child,White,Female,United-States,22.756538,19040.107,84.65113,42.046158,Private,HS-grad,Widowed,Adm-clerical,Own-child,White,Female,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.41095890410958896,0.0,0.0,0.5,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,46.99999999999999,0.0,0.0,50.00000000000001,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,0.38245937,0.0,0.0,0.44258228,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,44.919533,0.0,0.0,44.373062,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,0.026558637619018555,N,>50K,>50K
0,0.5616438356164384,0.0,0.0,0.19387755102040813,Private,Bachelors,Divorced,Craft-repair,Own-child,White,Female,United-States,<=50K,58.00000000000001,0.0,0.0,20.0,Private,Bachelors,Divorced,Craft-repair,Own-child,White,Female,United-States,<=50K,0.5694165,0.14280222,0.01457492,0.20953688,Private,Bachelors,Divorced,Craft-repair,Own-child,White,Female,United-States,58.567406,14280.079,63.48835,21.534615,Private,Bachelors,Divorced,Craft-repair,Own-child,White,Female,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.2876712328767123,0.0,0.0,0.6020408163265305,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K,38.0,0.0,0.0,59.99999999999999,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K,0.2902621,0.04760074,0.0048583066,0.6072606,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,United-States,38.189133,4760.0264,21.162783,60.511536,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.2876712328767123,0.0,0.0,0.2346938775510204,Private,9th,Married-civ-spouse,Other-service,Wife,Black,Female,Haiti,<=50K,38.0,0.0,0.0,24.0,Private,9th,Married-civ-spouse,Other-service,Wife,Black,Female,Haiti,<=50K,0.29544383,0.14280222,0.01457492,0.25035322,Private,9th,Married-civ-spouse,Other-service,Wife,Black,Female,Haiti,38.5674,14280.079,63.48835,25.534615,Private,9th,Married-civ-spouse,Other-service,Wife,Black,Female,Haiti,0.026558637619018555,N,<=50K,<=50K
0,0.3424657534246575,0.0,0.0,0.39795918367346933,Private,HS-grad,Separated,Transport-moving,Other-relative,Black,Male,United-States,<=50K,42.0,0.0,0.0,40.0,Private,HS-grad,Separated,Transport-moving,Other-relative,Black,Male,United-States,<=50K,0.35023835,0.14280222,0.01457492,0.41361856,Private,HS-grad,Separated,Transport-moving,Other-relative,Black,Male,United-States,42.567398,14280.079,63.48835,41.53462,Private,HS-grad,Separated,Transport-moving,Other-relative,Black,Male,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.5342465753424657,0.0,0.0,0.39795918367346933,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,Laos,<=50K,56.0,0.0,0.0,40.0,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,Laos,<=50K,0.53683746,0.04760074,0.0048583066,0.40317896,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,Laos,56.189137,4760.0264,21.162783,40.51154,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,Laos,0.026558637619018555,N,<=50K,<=50K
0,0.4794520547945205,0.0,0.0,0.39795918367346933,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,United-States,<=50K,52.0,0.0,0.0,40.0,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,United-States,<=50K,0.4820429,0.04760074,0.0048583066,0.40317896,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,United-States,52.189133,4760.0264,21.162783,40.51154,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,United-States,0.026558637619018555,Y,>50K,<=50K
0,0.4246575342465753,0.0,0.0,0.39795918367346933,Private,Assoc-voc,Divorced,Other-service,Own-child,White,Female,United-States,<=50K,48.0,0.0,0.0,40.0,Private,Assoc-voc,Divorced,Other-service,Own-child,White,Female,United-States,<=50K,0.43243012,0.14280222,0.01457492,0.41361856,Private,Assoc-voc,Divorced,Other-service,Own-child,White,Female,United-States,48.567398,14280.079,63.48835,41.53462,Private,Assoc-voc,Divorced,Other-service,Own-child,White,Female,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.8904109589041096,0.0,0.0,0.020408163265306124,Private,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K,82.00000000000001,0.0,0.0,3.0,Private,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K,0.89818364,0.14280222,0.01457492,0.03606751,Private,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,82.567406,14280.079,63.48835,4.5346155,Private,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.4383561643835617,0.0,0.0,0.346938775510204,Private,Bachelors,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,Philippines,<=50K,49.00000000000001,0.0,0.0,35.0,Private,Bachelors,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,Philippines,<=50K,0.44612876,0.14280222,0.01457492,0.36259818,Private,Bachelors,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,Philippines,49.567398,14280.079,63.48835,36.534622,Private,Bachelors,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,Philippines,0.026558637619018555,N,<=50K,<=50K
0,0.3424657534246575,0.0,0.0,0.39795918367346933,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,42.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,0.34505662,0.04760074,0.0048583066,0.40317896,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,42.189133,4760.0264,21.162783,40.51154,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.32876712328767127,0.0,0.0,0.39795918367346933,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,41.00000000000001,0.0,0.0,40.0,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,0.33394885,0.09520148,0.009716613,0.40839875,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,41.378265,9520.053,42.325565,41.023075,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,0.026558637619018555,Y,>50K,<=50K
0,0.2191780821917808,0.0,0.0,0.5,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K,33.0,0.0,0.0,50.00000000000001,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K,0.22176896,0.04760074,0.0048583066,0.50521976,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,33.189133,4760.0264,21.162783,50.511536,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.3835616438356165,0.015060150601506015,0.0,0.44897959183673464,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Female,United-States,<=50K,45.00000000000001,1506.0,0.0,45.0,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Female,United-States,<=50K,0.3861525,0.06266089,0.0048583066,0.45419937,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Female,United-States,45.189133,6266.026,21.162783,45.51154,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Female,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.2465753424657534,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,United-States,<=50K,35.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,United-States,<=50K,0.25693882,0.19040297,0.019433226,0.41883835,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,United-States,35.756535,19040.107,84.65113,42.046158,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.3835616438356165,0.0,0.0,0.346938775510204,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K,45.00000000000001,0.0,0.0,35.0,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K,0.39133424,0.14280222,0.01457492,0.36259818,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,45.567398,14280.079,63.48835,36.534622,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.30136986301369856,0.05013050130501305,0.0,0.31632653061224486,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,38.99999999999999,5013.0,0.0,32.0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,0.28841555,0.0,0.0,0.29022756,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,38.054337,0.0,0.0,29.4423,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,0.026558637619018555,Y,<=50K,>50K
0,0.726027397260274,0.0,0.0,0.1530612244897959,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K,70.00000000000001,0.0,0.0,16.0,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K,0.72861826,0.04760074,0.0048583066,0.158281,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,70.18913,4760.0264,21.162783,16.511538,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.5068493150684932,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K,54.00000000000001,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K,0.5094402,0.04760074,0.0048583066,0.40317896,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,54.189133,4760.0264,21.162783,40.51154,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,0.026558637619018555,Y,>50K,<=50K
0,0.7397260273972601,0.11678116781167812,0.0,0.44897959183673464,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,United-States,>50K,71.0,11678.0,0.0,45.0,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,United-States,>50K,0.7345442,0.02157969,0.0,0.43854,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,United-States,70.62173,2157.9475,0.0,43.97692,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,United-States,0.026558637619018555,N,>50K,>50K
0,0.2602739726027397,0.0,0.0,0.39795918367346933,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K,36.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K,0.26804656,0.14280222,0.01457492,0.41361856,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,United-States,36.567398,14280.079,63.48835,41.53462,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.3150684931506849,0.0,0.3409090909090909,0.39795918367346933,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K,40.0,0.0,1485.0,40.0,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K,0.31765935,0.04760074,0.3457674,0.40317896,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,United-States,40.18913,4760.0264,1506.1628,40.51154,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.1232876712328767,0.0,0.0,0.346938775510204,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K,26.0,0.0,0.0,35.0,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K,0.1336512,0.19040297,0.019433226,0.36781797,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States,26.756538,19040.107,84.65113,37.04616,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.41095890410958896,0.033250332503325035,0.0,0.44897959183673464,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,United-States,<=50K,46.99999999999999,3325.0,0.0,45.0,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,United-States,<=50K,0.41614065,0.12845181,0.009716613,0.45941916,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,United-States,47.378265,12845.053,42.325565,46.02308,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,United-States,0.026558637619018555,N,<=50K,<=50K
0,0.6027397260273972,0.0,0.0,0.39795918367346933,Private,Preschool,Married-spouse-absent,Other-service,Not-in-family,Asian-Pac-Islander,Male,China,<=50K,61.00000000000001,0.0,0.0,40.0,Private,Preschool,Married-spouse-absent,Other-service,Not-in-family,Asian-Pac-Islander,Male,China,<=50K,0.6156942,0.23800372,0.024291532,0.42405814,Private,Preschool,Married-spouse-absent,Other-service,Not-in-family,Asian-Pac-Islander,Male,China,61.94568,23800.133,105.81391,42.557697,Private,Preschool,Married-spouse-absent,Other-service,Not-in-family,Asian-Pac-Islander,Male,China,0.026558637619018555,N,<=50K,<=50K
